step_no,run_id,w_m,c_m,cf_m,cf_d,kf_m,kf_d,equity
84,3kJuSc31qD09eLz,10283.164814815857,431.6638216804713,2907.9104487001896,3232.3781822286546,331.21877348423004,404.06418466567993,1682.48
85,3kJuSc31qD09eLz,10540.980149524286,434.1360517088324,2918.0707120858133,3353.601096339524,264.88165175914764,416.5293048620224,1612.06
86,3kJuSc31qD09eLz,10783.817695328966,404.7326919659972,2880.561563760042,3387.1373197641224,160.53153255954385,436.2046904563904,1593.7
87,3kJuSc31qD09eLz,10857.246157124871,415.53315140423365,2906.3232531547546,3522.268128953874,255.44217527098954,405.50812590122223,1493.23
88,3kJuSc31qD09eLz,11018.752081807703,426.9989544712007,2872.361722677946,3671.4281255193055,291.9131798335584,381.3113308772445,1442.71
89,3kJuSc31qD09eLz,11286.46106311283,445.40572633221745,2928.255362105556,3802.9670808576047,286.81069599837065,408.52699440717697,1264.56
90,3kJuSc31qD09eLz,11502.314825777896,423.0378819350153,2904.5500176921487,3840.9353288672864,135.75194999575615,380.2573994398117,1255.54
91,3kJuSc31qD09eLz,11569.729174071428,431.44651083648205,2951.312610581517,4042.707555146888,267.60551024600863,304.8536465167999,1127.47
92,3kJuSc31qD09eLz,11742.904583559837,461.84074373170733,2907.9676157832146,4314.091665072367,278.54416458215564,336.925869345665,1259.76
93,3kJuSc31qD09eLz,11973.257107069367,439.5714576244354,2915.593658924103,4366.471126836725,156.26428599189967,326.0045920610428,1207.79
94,3kJuSc31qD09eLz,12016.673393905628,432.16798928100616,2985.907359972596,4578.921698553488,184.50301677919924,354.0391348004341,1313.71
95,3kJuSc31qD09eLz,12061.7717848639,491.124334204942,2930.924031957984,4818.948357408866,389.9921200014651,392.9717084169388,1338.11
96,3kJuSc31qD09eLz,12322.936740915291,478.4100593086332,3020.705194965005,5031.926555062644,308.4024765789509,417.36144518852234,1318.83
97,3kJuSc31qD09eLz,12545.401511356235,486.10686938930303,2971.723581403494,5011.775503423065,189.00546249002218,474.91434836387634,1294.45
98,3kJuSc31qD09eLz,12550.36681946367,484.77178136864677,2968.405477464199,5050.044619792141,177.3941680341959,462.7612662911415,1331.87
99,3kJuSc31qD09eLz,12500.948285956867,457.78501123562455,3044.746590167284,5058.285354966298,156.02617955114692,419.3373658657074,1318.12
100,3kJuSc31qD09eLz,12412.12588467494,442.2423715395853,3207.189027905464,5226.797473281622,254.92698270780966,354.81821298599243,1265.13
101,3kJuSc31qD09eLz,12505.232509290334,435.3003821745515,3228.397792518139,5324.012025531381,220.8902493910864,350.6864159107208,1284.88
102,3kJuSc31qD09eLz,12535.001041190233,435.39702770113945,3256.408351801336,5429.1840750630945,237.06368154706433,297.9241098165512,1263.24
103,3kJuSc31qD09eLz,12600.032548917457,426.20512574352324,3280.3845668435097,5557.267510400154,172.58799719065428,309.24564349651337,1387.3
104,3kJuSc31qD09eLz,12559.740980281495,436.9542517461814,3338.1228120923042,5567.803204860538,225.91350482124835,286.4615289568901,1293.53
105,3kJuSc31qD09eLz,12586.400255477056,429.18921901425347,3489.6857563853264,5462.0088481712155,158.81235274113715,330.4959805011749,1128.42
106,3kJuSc31qD09eLz,12561.39842652902,427.83463573269546,3405.7643902748823,5477.394956222735,201.80352818965912,356.69157791137695,1237.29
107,3kJuSc31qD09eLz,12601.401585749583,443.67266681883484,3557.4501511082053,5569.443618628196,170.57607139647007,370.3357200026512,1166.68
108,3kJuSc31qD09eLz,12550.697541749105,472.7447793595493,3415.40131264925,5590.89389421232,300.1600965075195,439.89440989494324,1291.78
109,3kJuSc31qD09eLz,12614.009063235484,466.1822283491492,3432.4545809924603,5676.321849259082,231.22845976799726,409.76870250701904,1342.22
110,3kJuSc31qD09eLz,12547.861710356548,455.32992040761746,3586.755637867376,5613.418105244171,136.74996834620833,320.9441946744919,1207.67
111,3kJuSc31qD09eLz,12372.895519028185,469.9443855471909,3711.7961528897285,5614.401339213364,196.06802191212773,285.42753624916077,1149.12
112,3kJuSc31qD09eLz,12282.998506879434,469.9012422412634,3876.7581716030836,5518.502198418602,158.28773818537593,295.1496719121933,1025.71
113,3kJuSc31qD09eLz,12256.14727055747,465.9539131941274,3982.622110903263,5398.251580149401,153.08470230922103,276.3425746560097,816.786
114,3kJuSc31qD09eLz,12184.269033458084,482.88185929786414,4128.1127463802695,5370.594797439873,206.512667468749,265.7817041873932,634.6
115,3kJuSc31qD09eLz,12083.232759761391,482.9410969056189,4213.44422981143,5248.208212067839,159.27029805164784,248.64667117595673,557.966
116,3kJuSc31qD09eLz,12023.434824241325,492.906569737941,4262.516176521778,5330.764242393896,231.86179183784407,231.35681211948395,551.402
117,3kJuSc31qD09eLz,12004.288741209544,499.0289700278081,4301.351662054658,5073.78614254063,139.915419312194,219.9026009440422,349.104
118,3kJuSc31qD09eLz,11875.093345350586,467.15829261764884,4333.207422375679,4856.751117674634,108.07723982725292,214.61928796768188,287.834
119,3kJuSc31qD09eLz,11694.542567580938,465.20514423563145,4360.239887773991,4716.071658033878,100.73033914575353,199.7053246498108,295.059
120,3kJuSc31qD09eLz,11529.259681505151,464.5620264671743,4451.523928761482,4803.423002736643,210.3688274109736,188.96716585755348,336.676
121,3kJuSc31qD09eLz,11428.511174287647,448.86566805117764,4473.617527604103,4425.492981461808,103.9710115189664,169.33671566098928,139.864
122,3kJuSc31qD09eLz,11256.934816529974,461.4706087661907,4486.332937520929,4406.915353443474,127.03876651450992,179.31595967710018,254.454
123,3kJuSc31qD09eLz,11101.703166767955,469.1197169260122,4481.92466430366,4240.205437367782,119.1103970259428,175.20952735841274,243.557
124,3kJuSc31qD09eLz,11062.300556980073,438.1192259090021,4637.8794194459915,4418.243277981877,106.30469603429083,166.81162751466036,340.451
125,3kJuSc31qD09eLz,10921.283263242338,431.09606576152146,4749.32395362854,4208.226409420371,55.88388232589932,167.40052994340658,218.04
126,3kJuSc31qD09eLz,10800.977739404887,404.7019509051461,5013.947056099772,4482.75690809451,104.0357499551028,161.76801055669785,320.862
127,3kJuSc31qD09eLz,10697.054725098424,399.64685704628937,5078.3409319370985,4421.17446521949,114.5614382668864,170.04077454656363,301.611
128,3kJuSc31qD09eLz,10595.125953948125,362.0050721829757,5202.580226004124,4358.798986329697,81.0046440869337,174.71098114550114,292.794
129,3kJuSc31qD09eLz,10514.985941207036,384.1716950023547,5294.478029370308,4471.088603843935,109.36940839886665,165.59543650597334,333.679
130,3kJuSc31qD09eLz,10444.168791611679,361.0386622417718,5449.996273726225,4657.105566122569,106.71881431620568,165.7013087272644,460.884
131,3kJuSc31qD09eLz,10454.828707106411,327.6564138508402,5543.959018230438,4736.80663951952,64.43455780204386,172.7824206352234,518.71
132,3kJuSc31qD09eLz,10324.30948982248,360.46952976472676,5665.2569052279,4951.909076009877,135.32408200530335,153.6563527584076,620.205
133,3kJuSc31qD09eLz,10293.52970382059,345.5157720949501,5723.924991220236,5080.165133222938,122.40481175016612,161.97233998775482,756.762
134,3kJuSc31qD09eLz,10293.718367354712,338.60003626998514,5751.327369183302,5171.283425513655,72.67523703305051,179.4227797985077,894.385
135,3kJuSc31qD09eLz,10248.672451332968,331.8680310291238,5777.4428651332855,5286.905034655705,134.2440809160471,209.62819343805313,1004.31
136,3kJuSc31qD09eLz,10231.186631779652,323.77028439287096,5753.877534270287,5374.939295941964,118.95217589847744,197.621362388134,1144.77
137,3kJuSc31qD09eLz,10215.394421318546,340.7631053784862,5869.754461288452,5527.293821804225,121.88743493426591,179.76253765821457,1159.26
138,3kJuSc31qD09eLz,10275.086378481938,317.1052966476418,5866.983247637749,5577.761146227829,95.70069893309847,207.19060456752777,1230.08
139,3kJuSc31qD09eLz,10192.287175646052,330.5997552513145,5840.749042868614,5651.173474448733,115.10441313777119,214.9007043838501,1387.33
140,3kJuSc31qD09eLz,10145.095205215737,327.3105728123337,5815.39694750309,5730.36995832203,122.36527739884332,236.19310975074768,1556.4
141,3kJuSc31qD09eLz,10105.392131825909,334.2073719066102,5966.9100016616285,5918.896389707457,173.76184083335102,227.23061886429787,1565.86
142,3kJuSc31qD09eLz,10155.868957557715,356.4004900045693,5840.072367548943,5913.940088707488,116.15953669883311,245.57259225845337,1691.01
143,3kJuSc31qD09eLz,10138.100856722333,384.29956708988175,5699.408579289913,5909.689701917116,108.73075146228075,281.8818727135658,1861.03
144,3kJuSc31qD09eLz,10141.312550514232,384.55901544727385,5862.94050757587,6322.441497232765,205.4781642779708,285.0273877978325,2013.18
145,3kJuSc31qD09eLz,10187.050302527845,366.66454564221203,6051.942996229976,6280.788126395084,123.94895461015403,293.27011346817017,1844.45
146,3kJuSc31qD09eLz,10162.058588562533,370.98392038652673,6167.156128525734,6303.339698316529,156.84599289484322,253.37915098667145,1699.67
147,3kJuSc31qD09eLz,10178.508469745517,354.1456912958529,6380.471179485321,6017.485488529783,157.18989214021713,239.90664744377136,1187.08
148,3kJuSc31qD09eLz,10151.474432375282,367.8154917182401,6484.190301388502,5784.5135683314875,169.3911555648083,205.06590163707733,816.708
149,3kJuSc31qD09eLz,10174.902045991272,388.10107620060444,6464.3921375870705,5885.1536316717975,228.05204980401322,217.40933847427368,847.116
150,3kJuSc31qD09eLz,10242.404959205538,368.8058256395161,6719.625862360001,5927.885967746377,151.23399326903746,196.71256601810455,642.528
151,3kJuSc31qD09eLz,10243.839464802295,394.79340681806207,6800.493694398552,5959.86051944131,188.42599919158965,199.01303911209106,531.321
152,3kJuSc31qD09eLz,10238.774971764535,390.24059518188005,6978.072586774826,6075.114256191999,192.73738097818568,217.6417659521103,492.93
153,3kJuSc31qD09eLz,10179.403541825712,410.57318321056664,6989.920623779297,6080.93320988398,242.09390482818708,209.2287763953209,468.171
154,3kJuSc31qD09eLz,10255.189854323864,411.6992906667292,7075.6933156475425,6283.252875131788,176.7612073160708,206.52168303728104,570.431
155,3kJuSc31qD09eLz,10299.851610448211,404.46872014645487,7073.8790229558945,6457.137854380766,178.2163703814149,223.7594919204712,724.482
156,3kJuSc31qD09eLz,10331.466400288045,418.68789587542415,7095.483594179153,6623.968866703566,234.01455554366112,243.19651591777802,787.513
157,3kJuSc31qD09eLz,10313.120331887156,381.13413247524295,7292.12039411068,6852.410074112471,212.2209477610886,228.81936597824097,882.634
158,3kJuSc31qD09eLz,10274.825901448727,383.1794513966888,7263.232830882072,6908.374425480608,214.7437989320606,228.31179249286652,1000.7
159,3kJuSc31qD09eLz,10259.53066149354,369.4587413202971,7257.818035304546,7054.032211684156,227.2941994201392,259.29282116889954,1199.22
160,3kJuSc31qD09eLz,10226.335116423666,360.82616629544646,7350.758040636778,7148.889890568564,151.78351536334958,258.4487624168396,1317.64
161,3kJuSc31qD09eLz,10127.174716379493,357.5919099546736,7478.995321452618,7449.969867312815,228.25522955693305,262.3494651913643,1520.3
162,3kJuSc31qD09eLz,10141.0366050452,363.9473422737792,7571.629321157932,7699.273458245676,207.39418208040297,273.12049746513367,1688.39
163,3kJuSc31qD09eLz,10098.815991796553,387.800473541487,7432.8987382650375,7822.636787050869,253.56754049658775,286.18005204200745,1935.73
164,3kJuSc31qD09eLz,10093.458529636264,398.2076088562608,7472.330487012863,8085.3144024836365,235.4740558899939,314.0689640045166,2199.91
165,3kJuSc31qD09eLz,10089.515012323856,420.04524075239897,7490.972822546959,8353.285755915102,211.75876837223768,295.74949860572815,2436.74
166,3kJuSc31qD09eLz,10061.07186049968,441.6576206088066,7372.680665254593,8477.862296544015,187.5777236907743,319.265175819397,2734.14
167,3kJuSc31qD09eLz,10062.581955749542,429.85895111830905,7326.1803596019745,8687.80561283871,210.20672986656427,361.19103968143463,3020.17
168,3kJuSc31qD09eLz,10046.903478324413,467.9569103536196,7363.24027338624,8944.4885473178,321.8432105751708,353.6678889989853,3098.21
169,3kJuSc31qD09eLz,10059.674913436174,471.85382434818894,7393.794562827796,9141.568920128513,311.41203218186274,374.95795184373856,3279.79
170,3kJuSc31qD09eLz,10056.986118681729,570.4697106927633,7462.368482865393,9366.496429773513,315.7906271722168,458.51320588588715,3419.39
171,3kJuSc31qD09eLz,10001.778467282653,634.9296425431967,7332.144884064794,9408.543495265301,306.00115728378296,462.05107402801514,3595.74
172,3kJuSc31qD09eLz,9930.301251217723,605.1876520125661,7620.536333560944,9591.410004166537,407.9396653547883,539.8187856674194,3567.26
173,3kJuSc31qD09eLz,9843.817783892155,598.3908032178879,8133.431791782379,9052.564726802171,383.5953213199973,458.9593229293823,2552.29
174,3kJuSc31qD09eLz,9788.881666570902,582.7378614880145,8499.856602609158,9152.748706094222,493.7131407484412,393.74250906705856,2181.3
175,3kJuSc31qD09eLz,9725.016078412533,588.0970390362199,8585.029326558113,9310.975599513622,498.1404727399349,452.04075050354004,2366.73
176,3kJuSc31qD09eLz,9652.00211673975,608.1474016252905,8433.756341934204,8968.931582644931,555.1056863889098,519.5866193175316,2239.51
177,3kJuSc31qD09eLz,9609.583923235536,602.090614952147,8409.244802430272,8982.424789397046,463.55138754844666,520.2876706123352,2418.24
178,3kJuSc31qD09eLz,9514.496447237208,583.4066316103563,8676.91001701355,8971.787763398606,393.5863479822874,523.9247154593468,2327.31
179,3kJuSc31qD09eLz,9408.276632517576,569.6878190422431,8680.9689078331,9022.220156840165,409.0046411007643,484.69695711135864,2438.98
180,3kJuSc31qD09eLz,9280.029529303312,572.3608360160142,9025.590226769447,9208.168097169255,509.0410036146641,523.3212592601776,2344.47
181,3kJuSc31qD09eLz,9135.478181570768,568.1425552591681,9007.47035993496,9090.08594774257,507.55081602558494,532.2102530002594,2403.65
182,3kJuSc31qD09eLz,9000.557601749897,600.5424332981929,9002.808421492577,9163.047712095082,491.03293730318546,492.24372524023056,2560.35
183,3kJuSc31qD09eLz,8839.052452981472,587.4453166173771,9138.722177028656,9205.744399325165,424.5147488731891,537.93013048172,2753.94
184,3kJuSc31qD09eLz,8689.062026603147,594.0635604239069,9334.060532033443,9124.590743886249,438.1073348931968,525.2049952745438,2594.5
185,3kJuSc31qD09eLz,8525.071548908949,543.4827257543802,9375.124803304672,8678.725942597724,447.23720372095704,497.3086473941803,2285.12
186,3kJuSc31qD09eLz,8384.157898282632,580.6103119617328,9442.593141168356,8971.661842520698,503.4241626858711,461.78118777275085,2522.66
187,3kJuSc31qD09eLz,8255.721534252167,584.4174737893045,9491.78860282898,9190.566888991394,576.1567742303014,521.9283776283264,2804.41
188,3kJuSc31qD09eLz,8105.67257425189,595.8319745128974,9753.672453701496,9395.289414467115,627.429084777832,581.5910480618477,2894.27
189,3kJuSc31qD09eLz,7977.012162804604,605.6678804529365,9582.37190245092,9389.455430019007,672.0394327640533,643.3043832778931,3195.67
190,3kJuSc31qD09eLz,7836.766366221011,636.4357877355069,9750.26511502266,9520.89971330238,612.3853515386581,655.7685933113098,3340.82
191,3kJuSc31qD09eLz,7690.8079144358635,701.852326631546,9720.844524979591,9645.06763201754,592.2448141239583,617.5705851316452,3556.89
192,3kJuSc31qD09eLz,7569.629776358604,721.8652771860361,9601.534797906876,9538.917339929496,629.092190861702,631.0913628339767,3647.89
193,3kJuSc31qD09eLz,7431.771873019636,773.6647906303406,9497.781108379364,9500.26336840901,577.9139370694757,665.1579941511154,3884.29
194,3kJuSc31qD09eLz,7289.064501143992,768.291267927736,9662.746940612793,9728.969278717123,736.2332910299301,672.8886202573776,3945.52
195,3kJuSc31qD09eLz,7155.650238733739,751.4289702214301,9843.722830355167,9866.354218671098,823.0239500552416,697.9356384277344,3990.46
196,3kJuSc31qD09eLz,7022.783062528819,740.106358461082,10182.60530090332,10166.449706457468,887.1612224690616,773.5686287879944,4107.36
197,3kJuSc31qD09eLz,6917.366517663002,779.9512831568718,9926.81409227848,10067.50155139147,924.1266375295818,905.8029911518097,4425.05
198,3kJuSc31qD09eLz,6800.286236107349,826.336378723383,9913.575510025024,10313.033701726992,870.9514912962914,816.0118802189827,4717.9
199,3kJuSc31qD09eLz,6699.693120360374,822.2009345293045,10061.72699213028,10370.0004450274,819.3996225446463,816.4690570831299,4783.45
200,3kJuSc31qD09eLz,6599.407061576843,865.899222701788,9939.274611592293,10466.300576666283,841.5838910341263,893.5579966902733,5113.69
