step_no,step_id,kf_id,liquidity,price,equity,debt,profit,production,sales,inventory,queue,expected_demand,intresses,loans,labour_demand,staff,first_step,lmbda,wage_bill
76,642627580,K_0,6.0,1.76184,6.0,0.0,-0.00883539,0.0,0.0,0.432934,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
77,562348011,K_0,6.0,1.76184,6.0,0.0,-0.00865868,0.0,0.0,0.424276,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
78,934971807,K_0,6.0,1.76184,6.0,0.0,-0.00848551,0.0,0.0,0.41579,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
79,140946653,K_0,6.0,1.76184,6.0,0.0,-0.0083158,0.0,0.0,0.407474,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
80,926843766,K_0,6.0,1.76184,6.0,0.0,-0.00814948,0.0,0.0,0.399325,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
81,258221513,K_0,6.0,1.76184,6.0,0.0,-0.00798649,0.0,0.0,0.391338,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
82,379320032,K_0,6.0,1.76184,6.0,0.0,-0.00782677,0.0,0.0,0.383511,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
83,296820041,K_0,6.0,1.76184,6.0,0.0,-0.00767023,0.0,0.0,0.375841,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
84,689690139,K_0,6.0,1.76184,6.0,0.0,-0.00751682,0.0,0.0,0.368324,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
85,772691445,K_0,6.0,1.76184,6.0,0.0,-0.00736649,0.0,0.0,0.360958,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
86,872827709,K_0,6.0,1.76184,6.0,0.0,-0.00721916,0.0,0.0,0.353739,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
87,117727476,K_0,6.0,1.76184,6.0,0.0,-0.00707478,0.0,0.0,0.346664,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
88,222577905,K_0,6.0,1.76184,6.0,0.0,-0.00693328,0.0,0.0,0.339731,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
89,226742563,K_0,6.0,1.76184,6.0,0.0,-0.00679461,0.0,0.0,0.332936,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
90,667874158,K_0,6.0,1.76184,6.0,0.0,-0.00665872,0.0,0.0,0.326277,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
91,234025440,K_0,6.0,1.76184,6.0,0.0,-0.00652555,0.0,0.0,0.319752,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
92,372074992,K_0,6.0,1.76184,6.0,0.0,-0.00639504,0.0,0.0,0.313357,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
93,313621613,K_0,6.0,1.76184,6.0,0.0,-0.00626714,0.0,0.0,0.30709,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
94,848351129,K_0,6.0,1.76184,6.0,0.0,-0.00614179,0.0,0.0,0.300948,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
95,977513280,K_0,6.0,1.76184,6.0,0.0,-0.00601896,0.0,0.0,0.294929,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
96,934611870,K_0,6.0,1.76184,6.0,0.0,-0.00589858,0.0,0.0,0.28903,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
97,84600141,K_0,6.0,1.76184,6.0,0.0,-0.00578061,0.0,0.0,0.28325,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
98,382631004,K_0,6.0,1.76184,6.0,0.0,-0.00566499,0.0,0.0,0.277585,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
99,128868041,K_0,6.0,1.76184,6.0,0.0,-0.00555169,0.0,0.0,0.272033,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
100,456993143,K_0,6.0,1.76184,6.0,0.0,-0.00544066,0.0,0.0,0.266592,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
101,652021804,K_0,6.0,1.76184,6.0,0.0,-0.00533185,0.0,0.0,0.261261,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
102,656138873,K_0,6.0,1.76184,6.0,0.0,-0.00522521,0.0,0.0,0.256035,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
103,697289515,K_0,6.0,1.76184,6.0,0.0,-0.00512071,0.0,0.0,0.250915,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
104,496918968,K_0,6.0,1.76184,6.0,0.0,-0.00501829,0.0,0.0,0.245896,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
