step_no,steps_id,capitalist_id,budget,wealth,human_wealth,spent_amount
384,484175336,B_0,0.811372,2.36093,0.815672,0.811372
385,771632297,B_0,0.933719,4.71681,0.914629,0.933719
386,683473890,B_0,1.15047,3.65237,0.881485,1.15047
387,267465634,B_0,1.0641,3.28784,0.874209,1.0641
388,726171827,B_0,1.0386,3.68609,0.896714,1.0386
389,111470381,B_0,1.08102,3.32532,0.889656,1.08102
390,149520865,B_0,1.05592,5.93149,1.00055,1.05592
391,846672521,B_0,1.29713,7.41374,1.07171,1.29713
392,20907606,B_0,1.44239,11.5214,1.25084,1.44239
393,229300267,B_0,1.82691,15.9412,1.45068,1.82691
394,625008683,B_0,2.24774,13.6935,1.39265,2.24774
395,836855575,B_0,2.07732,12.8193,1.38507,2.07732
396,232579727,B_0,2.02603,10.7932,1.32966,2.02603
397,875048113,B_0,1.86932,10.7989,1.35148,1.86932
398,956990868,B_0,1.89142,10.9414,1.37877,1.89142
399,496296169,B_0,1.92584,9.60975,1.34739,1.92584
400,376643913,B_0,1.82788,7.78187,1.2935,1.82788
401,97332389,B_0,1.68259,6.53062,1.25901,1.68259
402,385560758,B_0,1.58554,5.45903,1.22921,1.58554
403,714896222,B_0,1.50216,4.47417,1.20073,1.50216
404,189671449,B_0,1.42444,5.64976,1.2567,1.42444
405,463233643,B_0,1.53919,4.54953,1.22399,1.53919
406,837337194,B_0,1.45147,6.6331,1.31644,1.45147
407,739699025,B_0,1.64809,12.5325,1.56568,1.64809
408,424354170,B_0,2.1923,12.3299,1.58264,2.1923
409,527786687,B_0,2.19914,10.5691,1.53687,2.19914
410,18487782,B_0,2.06532,8.7427,1.48472,2.05949
411,613750877,B_0,1.92185,6.82085,1.42533,1.92185
412,140208516,B_0,1.76637,5.05448,1.36831,1.76637
413,259934152,B_0,1.62104,3.78407,1.32761,1.62104
414,270584195,B_0,1.51681,2.4816,1.28308,1.51681
415,822284521,B_0,0.0,0.0,1.23175,0.0
416,144539532,B_0,0.0,0.0771401,1.18557,0.0
417,864974176,B_0,0.0771401,1.77383,1.2091,0.0771401
418,389419770,B_0,1.29779,2.88548,1.25711,1.29779
419,816764127,B_0,1.40139,2.89825,1.26339,1.40139
420,131750733,B_0,1.40831,3.70537,1.30148,1.40831
421,185240837,B_0,1.48674,2.25165,1.25074,1.48674
422,103361554,B_0,1.36332,4.38752,1.34067,1.36332
423,627624190,B_0,1.56005,3.14712,1.29983,1.56005
424,966790629,B_0,1.45719,2.36144,1.2747,1.45719
425,972247150,B_0,1.39277,2.57765,1.28807,1.39277
426,866392301,B_0,1.41695,3.78126,1.34137,1.41695
427,57511497,B_0,1.53043,2.49534,1.2975,1.53043
428,527638301,B_0,1.42226,1.71271,1.27118,1.42226
429,208759677,B_0,1.35682,1.84059,1.27972,1.35682
430,942964210,B_0,1.37175,2.48283,1.30909,1.37175
431,183496360,B_0,1.43324,2.83123,1.328,1.43324
432,720097483,B_0,1.46956,2.0263,1.30146,1.46956
433,74353540,B_0,1.40278,1.62787,1.28958,1.40278
434,557041698,B_0,1.37097,1.7169,1.29639,1.37097
435,337873057,B_0,1.38224,1.93314,1.30848,1.38224
436,789610486,B_0,1.40513,0.870444,1.26984,1.40513
437,740141557,B_0,0.870444,0.0,1.21904,0.870444
438,959564321,B_0,0.0,0.0,1.17028,0.0
439,384326852,B_0,0.0,0.406912,1.13975,0.0
440,602497254,B_0,0.406912,0.0465902,1.09602,0.406912
441,312808226,B_0,0.0465902,1.42495,1.10918,0.0465902
442,163956743,B_0,1.18042,0.244529,1.06481,1.18042
443,114495522,B_0,0.244529,0.0,1.02222,0.244529
444,641443599,B_0,0.0,0.0,0.981329,0.0
445,846119868,B_0,0.0,0.230786,0.951307,0.0
446,548478963,B_0,0.230786,0.0,0.913255,0.230786
447,868337077,B_0,0.0,1.66593,0.943362,0.0
448,603582491,B_0,1.02666,2.32231,0.972949,1.02666
449,49367065,B_0,1.08906,1.39532,0.940514,1.08906
450,495456802,B_0,1.01028,1.69722,0.955381,1.01028
451,249374651,B_0,1.04024,0.769733,0.921676,1.04024
452,430243505,B_0,0.769733,1.85097,0.958848,0.769733
453,613346329,B_0,1.0514,4.87095,1.08335,1.0514
454,346426392,B_0,1.3269,4.84751,1.09215,1.3269
455,181511915,B_0,1.33453,7.18514,1.19535,1.33453
456,451799692,B_0,1.55461,5.63053,1.14754,1.55461
457,512541113,B_0,1.42907,4.98886,1.13313,1.42907
458,383430675,B_0,1.38258,3.79877,1.09551,1.38258
459,587575653,B_0,1.28545,2.74321,1.06088,1.28545
460,107863067,B_0,1.19804,1.54517,1.01845,1.19804
